url,fileTypes
https://discover.data.vic.gov.au/dataset/vicmap-property-parcel-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-address-address-point,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-property-easement-line,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-property-parcel-and-property-join-table,gdb; shp; mif; tab; extended tab; wfs
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-property-and-cadastral-area-boundary-join-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-parcel-and-cadastral-area-boundary-join-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-transport-scale-various,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-locality-polygon-aligned-to-property,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-easement-line,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-township-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-address-point,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-annotation-text,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-crown-land-tenure-crown-land-tenure-and-parcel-join-table,gdb; shp; mif; tab; extended tab; wfs
https://discover.data.vic.gov.au/dataset/vicmap-property-property-polygon-associated-display-view-polygon-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-admin-postcode-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-property-cadastral-point,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-features-geomark-index-centroid,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-features-features-of-interest-foi-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-transport-railway-line,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-admin-locality-polygon-aligned-to-topographic-features,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-transport-road-locality-section-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-features-geomark-point,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-address,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-features-geomark-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-transport-road-use-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-property-parcel-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-posctode-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-crown-land-tenure-crown-land-management-tenure-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-property-annotation-text,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-property-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-parcel-and-property-join-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-road-casement-polygon,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-property,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-crown-land-tenure-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-property-table,gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-crown-land-tenure,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/vicmap-land-administration-themes-parcel-property-and-road-casement-centroid,dwg; dxf; gdb; shp; mif; tab; extended tab
